const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status,const_name_cw,bjp_votes,tmc_votes,total_votes,winner_is_bjp,winner_is_tmc
12,ALIPURDUARS,PARITOSH DAS,Bharatiya Janata Party,SUMAN KANJILAL,All India Trinamool Congress,70420.0,Result Declared,ALIPURDUARS,143242,72822,232466,True,False
102,AMDANGA,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,ARINDAM DEY,Bharatiya Janata Party,2995.0,Result Declared,AMDANGA,78675,81670,213502,False,True
181,AMTA,AMIT SAMANTA,Bharatiya Janata Party,SUKANTA KUMAR PAUL,All India Trinamool Congress,4454.0,Result Declared,AMTA,104649,100195,237001,True,False
200,ARAMBAG,BAG HEMANTA,Bharatiya Janata Party,BAG MITA,All India Trinamool Congress,28959.0,Result Declared,ARAMBAG,123000,94041,235875,True,False
280,ASANSOL DAKSHIN,AGNIMITRA PAUL,Bharatiya Janata Party,TAPAS BANERJEE,All India Trinamool Congress,40839.0,Result Declared,ASANSOL DAKSHIN,119582,78743,215792,True,False
281,ASANSOL UTTAR,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,MOLOY GHATAK,All India Trinamool Congress,11615.0,Result Declared,ASANSOL UTTAR,104516,92901,210607,True,False
101,ASHOKNAGAR,DR. SUMAY HIRA,Bharatiya Janata Party,NARAYAN GOSWAMI,All India Trinamool Congress,9408.0,Result Declared,ASHOKNAGAR,96807,87399,219757,True,False
273,AUSGRAM,KALITA MAJI,Bharatiya Janata Party,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,12535.0,Result Declared,AUSGRAM,107692,95157,225886,True,False
99,BADURIA,BURHANUL MUKADDIM (LITON),All India Trinamool Congress,SUKRITI KUMAR SARKAR,Bharatiya Janata Party,40061.0,Result Declared,BADURIA,63273,103334,227365,False,True
94,BAGDA,SOMA THAKUR,Bharatiya Janata Party,MADHUPARNA THAKUR,All India Trinamool Congress,34616.0,Result Declared,BAGDA,121307,86691,217223,True,False
240,BAGHMUNDI,RAHIDAS MAHATO,Bharatiya Janata Party,SUSHANTA MAHATO,All India Trinamool Congress,40817.0,Result Declared,BAGHMUNDI,112663,71846,230137,True,False
180,BAGNAN,ARUNAVA SEN,All India Trinamool Congress,PRAMANSHU RANA,Bharatiya Janata Party,11316.0,Result Declared,BAGNAN,93744,105060,218406,False,True
72,BAHARAMPUR,SUBRATA MAITRA (KANCHAN),Bharatiya Janata Party,ADHIR RANJAN CHOWDHURY,Indian National Congress,17548.0,Result Declared,BAHARAMPUR,91088,49586,224268,True,False
54,BAISNABNAGAR,RAJU KARMAKAR,Bharatiya Janata Party,CHANDANA SARKAR,All India Trinamool Congress,46881.0,Result Declared,BAISNABNAGAR,108692,61811,224839,True,False
191,BALAGARH,SUMANA SARKAR,Bharatiya Janata Party,RANJAN DHARA,All India Trinamool Congress,41914.0,Result Declared,BALAGARH,125624,83710,226031,True,False
239,BALARAMPUR,JALADHAR MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,35051.0,Result Declared,BALARAMPUR,118421,83370,219946,True,False
169,BALLY,SANJAY KUMAR SINGH,Bharatiya Janata Party,KAILASH KUMAR MISHRA,All India Trinamool Congress,11997.0,Result Declared,BALLY,57639,45642,117838,True,False
161,BALLYGUNGE,SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,SHATORUPA,Bharatiya Janata Party,61476.0,Result Declared,BALLYGUNGE,47005,108481,167384,False,True
39,BALURGHAT,BIDYUT KUMAR ROY,Bharatiya Janata Party,ARPITA GHOSH,All India Trinamool Congress,47576.0,Result Declared,BALURGHAT,95697,48121,158296,True,False
238,BANDWAN,LABSEN BASKEY,Bharatiya Janata Party,RAJIB LOCHAN SAREN,All India Trinamool Congress,29577.0,Result Declared,BANDWAN,134080,104503,266178,True,False
96,BANGAON DAKSHIN,SWAPAN MAJUMDER,Bharatiya Janata Party,RITUPARNA ADDHYA,All India Trinamool Congress,37814.0,Result Declared,BANGAON DAKSHIN,119399,81585,212191,True,False
95,BANGAON UTTAR,ASHOK KIRTANIA,Bharatiya Janata Party,BISWAJIT DAS,All India Trinamool Congress,40670.0,Result Declared,BANGAON UTTAR,119317,78647,211344,True,False
252,BANKURA,NILADRI SEKHAR DANA,Bharatiya Janata Party,DR. ANUP MANDAL,All India Trinamool Congress,54177.0,Result Declared,BANKURA,136992,82815,239331,True,False
283,BARABANI,ARIJIT ROY,Bharatiya Janata Party,BIDHAN UPADHYAY,All India Trinamool Congress,11722.0,Result Declared,BARABANI,91777,80055,185274,True,False
113,BARANAGAR,SAJAL GHOSH,Bharatiya Janata Party,SAYANTIKA BANERJEE,All India Trinamool Congress,16956.0,Result Declared,BARANAGAR,81730,64774,169347,True,False
119,BARASAT,SANKAR CHATTERJEE,Bharatiya Janata Party,SABYASACHI DUTTA,All India Trinamool Congress,34558.0,Result Declared,BARASAT,122171,87613,236603,True,False
260,BARDHAMAN DAKSHIN,MOUMITA BISWAS MISRA,Bharatiya Janata Party,KHOKAN DAS,All India Trinamool Congress,30470.0,Result Declared,BARDHAMAN DAKSHIN,107754,77284,204823,True,False
266,BARDHAMAN UTTAR,NISITH KUMAR MALIK,All India Trinamool Congress,SANJOY DAS,Bharatiya Janata Party,6460.0,Result Declared,BARDHAMAN UTTAR,106228,112688,247932,False,True
253,BARJORA,BILLESWAR SINHA,Bharatiya Janata Party,GOUTAM MISHRA (SHYAM),All India Trinamool Congress,41310.0,Result Declared,BARJORA,125419,84109,235362,True,False
108,BARRACKPUR,KAUSTUV BAGCHI,Bharatiya Janata Party,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,15822.0,Result Declared,BARRACKPUR,78466,62644,154918,True,False
140,BARUIPUR PASCHIM,BIMAN BANERJEE,All India Trinamool Congress,BISWAJIT PAUL,Bharatiya Janata Party,17862.0,Result Declared,BARUIPUR PASCHIM,86919,104781,221031,False,True
137,BARUIPUR PURBA,BIVAS SARDAR,All India Trinamool Congress,TUMPA SARDAR,Bharatiya Janata Party,31815.0,Result Declared,BARUIPUR PURBA,89172,120987,237319,False,True
128,BASANTI,NILIMA MISTRY BISHAL,All India Trinamool Congress,BIKASH SARDAR,Bharatiya Janata Party,56181.0,Result Declared,BASANTI,71314,127495,231860,False,True
124,BASIRHAT DAKSHIN,SURAJIT MITRA (BADAL),All India Trinamool Congress,DR. SOURYA BANERJEE,Bharatiya Janata Party,9544.0,Result Declared,BASIRHAT DAKSHIN,103421,112965,250535,False,True
125,BASIRHAT UTTAR,MD. TAUSEFFUR RAHMAN,All India Trinamool Congress,MD. MUSA KAREMULLA,All India Secular Front,57270.0,Result Declared,BASIRHAT UTTAR,55211,115503,238563,False,True
154,BEHALA PASCHIM,DR. INDRANIL KHAN,Bharatiya Janata Party,RATNA CHATTERJEE,All India Trinamool Congress,24699.0,Result Declared,BEHALA PASCHIM,113171,88472,238796,True,False
153,BEHALA PURBA,SANKAR SIKDER,Bharatiya Janata Party,SUBHASISH CHAKRABORTY,All India Trinamool Congress,25137.0,Result Declared,BEHALA PURBA,115502,90365,234687,True,False
71,BELDANGA,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,13208.0,Result Declared,BELDANGA,72872,59664,228591,True,False
164,BELEGHATA,KUNAL KUMAR GHOSH,All India Trinamool Congress,PARTHA CHAUDHURY,Bharatiya Janata Party,28576.0,Result Declared,BELEGHATA,65181,93757,174108,False,True
159,BHABANIPUR,ADHIKARI SUVENDU,Bharatiya Janata Party,MAMATA BANERJEE,All India Trinamool Congress,15105.0,Result Declared,BHABANIPUR,73917,58812,139413,True,False
214,BHAGABANPUR,SANTANU PRAMANIK,Bharatiya Janata Party,MANAB KUMAR PARUA,All India Trinamool Congress,20878.0,Result Declared,BHAGABANPUR,130586,109708,247653,True,False
62,BHAGAWANGOLA,REYAT HOSSAIN SARKAR,All India Trinamool Congress,MAHAMUDAL HASAN,Communist Party of India (Marxist),56407.0,Result Declared,BHAGAWANGOLA,23104,105997,218216,False,True
148,BHANGAR,MD NAWSAD SIDDIQUE,All India Secular Front,SAOKAT MOLLA,All India Trinamool Congress,32088.0,Result Declared,BHANGAR,30177,94467,267394,False,False
69,BHARATPUR,MUSTAFIJUR RAHAMAN (SUMAN),All India Trinamool Congress,ANAMIKA GHOSH,Bharatiya Janata Party,30753.0,Result Declared,BHARATPUR,60117,90870,214424,False,True
267,BHATAR,KARFA SOUMEN,Bharatiya Janata Party,KONER SHANTANU,All India Trinamool Congress,6528.0,Result Declared,BHATAR,98820,92292,214694,True,False
105,BHATPARA,PAWAN KUMAR SINGH,Bharatiya Janata Party,AMIT GUPTA,All India Trinamool Congress,22807.0,Result Declared,BHATPARA,61683,38876,106314,True,False
116,BIDHANNAGAR,SHARADWAT MUKHERJEE,Bharatiya Janata Party,SUJIT BOSE,All India Trinamool Congress,37330.0,Result Declared,BIDHANNAGAR,97979,60649,177484,True,False
103,BIJPUR,SUDIPTA DAS,Bharatiya Janata Party,SUBODH ADHIKARY,All India Trinamool Congress,13343.0,Result Declared,BIJPUR,71799,58456,144886,True,False
237,BINPUR,DR. PRANAT TUDU,Bharatiya Janata Party,BIRBAHA HANSDA,All India Trinamool Congress,22977.0,Result Declared,BINPUR,107238,84261,208079,True,False
146,BISHNUPUR,DILIP MONDAL,All India Trinamool Congress,ABHIJIT SARDAR,Bharatiya Janata Party,36925.0,Result Declared,BISHNUPUR,95722,132647,250592,False,True
